strIngredient13,strMeasure8,strMeasure11,strMeasure12,strDrinkThumb,strCreativeCommonsConfirmed,strIngredient5,strIngredient6,strVideo,strImageSource,strInstructionsFR,strMeasure9,strDrink,strIngredient8,strIngredient12,strInstructionsIT,idDrink,strMeasure3,strInstructionsDE,strIngredient1,strInstructionsES,strMeasure4,strIngredient9,strInstructionsZH-HANT,strMeasure1,strMeasure15,strIngredient10,strGlass,strDrinkAlternate,strMeasure10,strMeasure6,strIngredient7,strImageAttribution,strIngredient3,strMeasure2,strTags,strInstructions,strCategory,strInstructionsZH-HANS,dateModified,strMeasure14,strIngredient14,strAlcoholic,strIngredient11,strMeasure13,strIBA,strMeasure5,strIngredient2,strIngredient15,strMeasure7,strIngredient4
,,,,https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,No,,,,,"Verser tous les ingrédients dans un shaker, mélanger et servir avec des glaçons dans un verre réfrigéré.",,A1,,,"Versare tutti gli ingredienti in uno shaker, mescolare e servire con ghiaccio in un bicchiere freddo.",17222,1/4 Shot,"Alle Zutaten in einen Cocktailshaker geben, mischen und über Eis in ein gekühltes Glas servieren.",Gin,"Verter todos los ingredientes en una coctelera, mezclar y servir con hielo en una copa fría.",1/8 Shot,,,1 3/4 shot ,,,Cocktail glass,,,,,,Lemon Juice,1 Shot ,,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",Cocktail,,2017-09-07 21:42:09,,,Alcoholic,,,,,Grand Marnier,,,Grenadine
,,,,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,No,,,,,,,ABC,,,"Versa in ordine di lettera i vari ingredienti. 1/3 del bicchiere va riempito con l'Amaretto, 1/3 di Baileys e il restante di Cognac.",13501,1/3 ,Schichtaufbau in einem Schnapsglas.,Amaretto,Coloque todos los ingredientes en un vaso de chupito.,,,,1/3 ,,,Shot glass,,,,,,Cognac,1/3 ,,Layered in a shot glass.,Shot,,2016-08-31 19:32:08,,,Alcoholic,,,,,Baileys irish cream,,,
,,,,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,No,Egg White,,,,"Agiter tous les ingrédients dans un shaker avec de la glace, puis filtrer dans un verre froid.",,Ace,,,"Shakerare tutti gli ingredienti in uno shaker e ghiaccio, quindi filtrare in un bicchiere freddo.",17225,1/2 shot ,Alle Zutaten in einem Cocktailshaker mit Eis schütteln und dann in einem kalten Glas abseihen.,Gin,Agitar todos los ingredientes en una coctelera con hielo y colar en un vaso frío.,1/2 shot,,,2 shots ,,,Martini Glass,,,,,,Heavy cream,1/2 shot ,,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Cocktail,,2017-09-07 22:05:06,,,Alcoholic,,,,1/2 Fresh,Grenadine,,,Milk
,,,,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,No,,,,,,,ACID,,,"Versa prima il Bacardi 151 seguito dal 101, servito con una Coca-Cola.",14610,,"Gering den 151 gefolgt von der 101, die mit einer Cola oder Dr. Pepper Chaser serviert wird.",151 proof rum,"Vierta primero el Bacardi 151, seguido del Wild Turkey 101 y sirva con Coca-Cola o Dr Pepper.",,,,1 oz Bacardi ,,,Shot glass,,,,,,,1 oz ,,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,Shot,,2016-11-15 11:28:37,,,Alcoholic,,,,,Wild Turkey,,,
,,,,https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,Yes,,,,,"Dans un shaker à moitié rempli de glaçons, mélanger tous les ingrédients. Bien agiter. Filtrer dans un verre à cocktail.",,Adam,,,"In uno shaker riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti.Agitare bene.Filtrare in un bicchiere da cocktail.",17837,1 tsp ,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Cocktailglas abseihen.",Dark rum,"En una coctelera llena hasta la mitad con cubitos de hielo, mezcle todos los ingredientes. Agitar bien. Colar en una copa de cóctel.",,,,2 oz ,,,Cocktail glass,,,,,,Grenadine,1 oz ,"Alcoholic,Holiday","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Ordinary Drink,,2016-09-02 11:29:29,,,Alcoholic,,,,,Lemon juice,,,
,,,,https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,No,,,,,"Verser la vodka et le gin sur de la glace, ajouter le Tonic et remuer.",,AT&T,,,"Versare la vodka e il gin sul ghiaccio, aggiungere l'acqua tonica e mescolare",13938,4 oz ,"Wodka und Gin über das Eis gießen, Tonic hinzufügen und umrühren.",Absolut Vodka,"Vierta el vodka y la ginebra sobre el hielo, añada la tónica y remueva",,,,1 oz ,,,Highball Glass,,,,,,Tonic water,1 oz ,,"Pour Vodka and Gin over ice, add Tonic and Stir",Ordinary Drink,,2017-04-24 22:00:19,,,Alcoholic,,,,,Gin,,,
,,,,https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,Yes,,,,,"Secouer les ingrédients avec de la glace, filtrer dans un verre à cocktail et servir.",,A. J.,,,"Shakerare gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.",17833,,"Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",Applejack,"Agitar los ingredientes con hielo, colar en una copa de cóctel y servir.",,,,1 1/2 oz ,,,Cocktail glass,,,,,,,1 oz ,,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,,2016-09-02 11:16:58,,,Alcoholic,,,,,Grapefruit juice,,,
,,,,https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,Yes,,,,,"Verser le schnaps, le jus d'orange et le jus de canneberge sur de la glace dans un verre highball. Compléter avec du club soda et servir.",,Affair,,,"Versare la grappa, il succo d'arancia e il succo di mirtillo rosso sul ghiaccio in un bicchiere highball. Completare con la soda club e servire.",17839,2 oz ,"Gießen Sie Schnaps, Orangensaft und Cranberrysaft über Eis in ein Highball-Glas. Mit Club-Soda überziehen und servieren.",Strawberry schnapps,"Vierta el aguardiente, el zumo de naranja y el zumo de arándanos sobre hielo en un vaso alto. Añadir club soda y servir.",,,,2 oz ,,,Highball glass,,,,,,Cranberry juice,2 oz ,,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Ordinary Drink,,2016-09-01 10:05:34,,,Alcoholic,,,,,Orange juice,,,Club soda
,,,,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,No,,,,,Remuer. Garnir de cerises au marasquin.,,Apello,,,"Versare tutti gli ingredienti in un mixing glass. Mescolate.
Guarnire con una ciliegia al maraschino.",15106,1 cl ,Rühren. Mit Maraschinokirsche garnieren.,Orange juice,Revuelva. Grnish con cereza al marrasquino.,1 ,,,4 cl ,,,Collins Glass,,,,,,Apple juice,3 cl ,,Stirr. Grnish with maraschino cherry.,Other / Unknown,,2016-07-18 22:13:35,,,Non alcoholic,,,,,Grapefruit juice,,,Maraschino cherry
,,,,https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,No,Lemonade,,,,"Remplir un grand verre de glace. Superposer la vodka Finlandia, les jus de citron et de pomme, le Pisang Ambon et compléter avec de la limonade. Remuer légèrement et décorer d'une spirale de concombre et d'une cerise rouge. Le concombre apporte du piquant et est très esthétique. Cette boisson, créée par Timo Haimi, a remporté le premier prix du concours de Long Drink de Finlandia Vodka en 1991.",,Avalon,,,"Riempi un bicchiere alto di ghiaccio.
Versare la Vodka, succhi di limone, mela, Pisang Ambon o un liquore alla banana e completare con la limonata.
Mescolare leggermente e guarnire con una buccia di cetriolo a spirale e una ciliegia rossa.
Il cetriolo fornisce la scorza e sembra attraente.
Questa bevanda, creata da Timo Haimi, ha vinto il primo premio nel 1991 Finlandia Vodka Long Drink Competition.",15266,6 parts ,"Füllen Sie ein hohes Glas mit Eis. Legen Sie den Finlandia Wodka, Zitronen- und Apfelsäfte, Pisang Ambon und geben Sie Limonade dazu. Leicht umrühren und mit einer spiralförmigen Gurkenhaut und einer roten Kirsche garnieren. Die Gurke sorgt für Schärfe und sieht attraktiv aus. Dieses von Timo Haimi kreierte Getränk erhielt 1991 den ersten Preis beim Finlandia Wodka Long Drink Wettbewerb.",Vodka,"Llene un vaso alto con hielo. Añadir el Finlandia Vodka, los zumos de limón y manzana, el Pisang Ambon y completar con limonada. Remover ligeramente y decorar con una piel de pepino en espiral y una cereza roja. El pepino aporta sabor y un aspecto atractivo. Esta bebida, creada por Timo Haimi, obtuvo el primer premio en el Concurso de Tragos Largos con Vodka Finlandia de 1991.",1 1/2 part ,,,3 parts,,,Highball glass,,,,,,Apple juice,1 part ,,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",Ordinary Drink,,2017-04-24 22:22:11,,,Alcoholic,,,,,Pisang Ambon,,,Lemon juice
